344	261	277	
222	272	292	
344	261	277	
222	272	292	
208	291	306	
344	261	277	
222	272	292	
196	351	281	
213	268	358	
178	286	286	
144	316	290	
344	261	277	
222	272	292	
325	319	175	
285	322	246	
210	337	170	
300	277	253	
194	326	256	
241	338	222	
265	288	261	
226	283	205	
209	271	269	
226	376	194	
142	291	265	
180	312	257	
199	309	247	
189	349	204	
97	310	263	
344	261	277	
222	272	292	
281	211	323	
161	233	367	
267	247	297	
215	195	346	
132	240	329	
196	258	292	
238	221	314	
140	166	354	
126	251	295	
180	243	317	
202	238	307	
146	221	315	
