376	270	256	
375	278	286	
376	270	256	
375	278	286	
363	296	352	
189	309	360	
303	354	298	
122	371	306	
296	358	298	
272	322	339	
157	324	346	
376	270	256	
375	278	286	
368	282	286	
269	274	336	
238	294	267	
227	277	342	
252	275	312	
134	303	269	
176	291	274	
376	270	256	
375	278	286	
248	336	236	
213	372	255	
376	270	256	
375	278	286	
367	244	349	
224	262	400	
353	246	344	
277	225	361	
316	265	264	
252	224	376	
278	267	302	
292	265	307	
171	267	310	
376	270	256	
375	278	286	
376	270	256	
375	278	286	
363	296	352	
189	309	360	
303	354	298	
122	371	306	
296	358	298	
272	322	339	
157	324	346	
376	270	256	
375	278	286	
368	282	286	
269	274	336	
238	294	267	
227	277	342	
252	275	312	
134	303	269	
176	291	274	
376	270	256	
375	278	286	
248	336	236	
213	372	255	
376	270	256	
375	278	286	
367	244	349	
224	262	400	
353	246	344	
277	225	361	
316	265	264	
252	224	376	
278	267	302	
292	265	307	
171	267	310	
